Production,Usage,Plugload
52,39.31,9.86
88,48.75,9.86
91,33.09,10.44
55,29.34,10.44
29,27.87,10.44
75,27.98,10.44
13,33.11,10.39
0,37.4,10.09
0,40.89,9.79
0,47.59,9.57
0,50.83,9.57
0,53.35,9.57
0,49.13,9.03
0,22.79,8.92
490,977.12,228.16
0,48.67,8.84
0,50.6,8.84
0,52.35,8.84
0,56.39,8.84
0,66.51,8.84
0,122.72,12.46
0,127.27,12.85
3,210.91,38.73
7,327.13,107.18
26,255.11,112.58
49,258.68,112.74
23,258.98,112.74
68,236.28,98.8
39,256.51,105.99
36,263.36,105.99
29,268.12,101.49
3,260.7,92.5
0,175.92,63.69
0,110.77,42.1
0,103.18,42.1
0,79.75,34.76
0,75.2,32.06
0,36.91,12.78
0,26.61,8.92
283,3728.64,1294.69
0,28.65,8.84
0,30.08,8.84
0,30.19,8.84
0,32.15,8.84
0,81.7,8.84
0,92.91,12.46
0,111.72,12.85
7,170.93,38.73
62,248.12,107.18
117,249.22,112.58
159,248.26,112.74
179,252.09,112.74
182,228.32,98.8
163,241.7,105.99
130,240.42,105.99
81,246.73,101.49
0,244.53,92.5
0,170.07,63.69
0,106.2,42.1
0,99.13,42.1
0,80.39,34.76
0,76.46,32.06
0,37.61,12.78
0,28.5,8.92
1080,3376.07,1294.69
0,28.86,8.84
0,30.78,8.84
0,32.33,8.84
0,33.84,8.84
0,75.99,8.84
0,80.22,12.46
0,98.54,12.85
10,166.3,38.73
65,267.12,107.18
124,274.6,112.58
166,272.93,112.74
189,270.27,112.74
185,242.84,98.8
166,264.89,105.99
130,263.27,105.99
85,259.88,101.49
0,253.1,92.5
0,170.48,63.69
0,106.34,42.1
0,99.5,42.1
0,80.1,34.76
0,75.3,32.06
0,34.4,12.78
0,22.19,8.92
1120,3504.05,1294.69
0,21.44,8.84
0,21.51,8.84
0,21.55,8.84
0,21.62,8.84
0,25.16,8.84
0,35.76,12.46
0,38.88,12.85
10,107.37,38.73
7,280.92,107.18
20,303.28,112.58
91,301.71,112.74
140,265.53,112.74
185,241.7,98.8
68,269.71,105.99
85,272.43,105.99
85,268.8,101.49
0,262.16,92.5
0,178,63.69
0,112.6,42.1
0,104.03,42.1
0,83.61,34.76
0,77.65,32.06
0,34.13,12.78
0,21.72,8.92
691,3371.28,1294.69
0,21.4,8.84
0,21.42,8.84
0,21.44,8.84
0,21.45,8.84
0,24.95,8.84
0,35.25,12.46
0,39.78,12.85
13,106.4,38.73
39,283.98,107.18
65,306.53,112.58
101,280.1,112.74
72,259.34,112.74
185,233.32,98.8
159,253.26,105.99
133,250.54,105.99
88,251.45,101.49
0,243.48,92.5
0,177.75,63.69
0,112.77,42.1
0,99.17,42.1
0,79.82,34.76
0,74.79,32.06
0,34.32,12.78
0,22.03,8.92
855,3254.73,1294.69
0,21.46,8.87
0,21.44,8.84
0,21.49,8.84
0,21.63,8.84
0,21.56,8.84
0,25.66,8.84
0,35.76,12.52
3,41.5,12.79
39,90.25,32.13
65,94.67,32.75
163,95.6,33.31
182,98.57,33.31
150,66.27,22.51
169,51.86,18.01
140,49.16,18.01
88,49.02,18.01
0,52.88,18.01
0,31.05,10.88
0,27.48,10.28
0,26.65,9.98
0,26.64,9.98
0,26.59,9.68
0,25.37,9.39
0,21.57,8.92
999,1044.13,373.57
0,21.37,8.87
0,21.54,8.84
0,21.57,8.84
0,145.39,8.84
0,27.71,8.84
0,28.73,8.84
0,29.12,8.92
3,31.12,9.12
7,24.9,9.31
20,22.29,9.31
62,21.38,9.86
68,21.17,9.86
23,25.28,10.44
29,26.22,10.44
33,26.44,10.44
10,27.36,10.44
0,29.13,10.39
0,31.92,10.09
0,32.22,9.79
0,33.82,9.57
0,33.92,9.57
0,34.39,9.57
0,29.63,9.03
0,31.03,8.92
255,777.64,228.16
0,31.77,8.87
0,33.54,8.84
0,33.7,8.84
0,35.8,8.84
0,36.57,8.84
0,36.52,8.84
0,36.85,8.92
13,23.82,9.12
72,21.23,9.31
130,20.52,9.31
172,20.85,9.86
185,20.7,9.86
23,23.44,10.44
169,23.84,10.44
143,23.87,10.44
94,24.44,10.44
0,27.18,10.39
0,27.93,10.09
0,27.52,9.79
0,27.2,9.57
0,27.21,9.57
0,27.75,9.57
0,22.43,9.03
0,22.28,8.92
1001,656.97,228.16
0,22.35,8.84
0,159.76,8.84
0,53.02,8.84
0,36.82,8.84
0,63.54,8.84
0,98.6,12.46
0,124.89,12.85
16,156.72,38.73
72,273.28,107.18
127,276.51,112.58
179,257.21,112.74
198,255.53,112.74
198,231.64,98.8
179,247.49,105.99
143,246.44,105.99
91,255.31,101.49
0,248.98,92.5
0,176.2,63.69
0,110.96,42.1
0,98.83,42.1
